C:\Users\amogh\Desktop\Sim_data\IMG\center_2024_04_12_17_22_19_341.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\left_2024_04_12_17_22_19_341.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\right_2024_04_12_17_22_19_341.jpg, 0, 0, 0, 7.826452E-05
C:\Users\amogh\Desktop\Sim_data\IMG\center_2024_04_12_17_22_19_441.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\left_2024_04_12_17_22_19_441.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\right_2024_04_12_17_22_19_441.jpg, 0, 0, 0, 7.958964E-05
C:\Users\amogh\Desktop\Sim_data\IMG\center_2024_04_12_17_22_19_542.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\left_2024_04_12_17_22_19_542.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\right_2024_04_12_17_22_19_542.jpg, 0, 0, 0, 7.883789E-05
C:\Users\amogh\Desktop\Sim_data\IMG\center_2024_04_12_17_22_19_643.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\left_2024_04_12_17_22_19_643.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\right_2024_04_12_17_22_19_643.jpg, 0, 0, 0, 7.829146E-05
C:\Users\amogh\Desktop\Sim_data\IMG\center_2024_04_12_17_22_19_745.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\left_2024_04_12_17_22_19_745.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\right_2024_04_12_17_22_19_745.jpg, 0, 0, 0, 7.805386E-05
C:\Users\amogh\Desktop\Sim_data\IMG\center_2024_04_12_17_22_19_847.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\left_2024_04_12_17_22_19_847.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\right_2024_04_12_17_22_19_847.jpg, 0, 0, 0, 7.845267E-05
C:\Users\amogh\Desktop\Sim_data\IMG\center_2024_04_12_17_22_19_951.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\left_2024_04_12_17_22_19_951.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\right_2024_04_12_17_22_19_951.jpg, 0, 0, 0, 7.867394E-05
C:\Users\amogh\Desktop\Sim_data\IMG\center_2024_04_12_17_22_20_054.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\left_2024_04_12_17_22_20_054.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\right_2024_04_12_17_22_20_054.jpg, 0, 0.025128, 0, 0.00805543
C:\Users\amogh\Desktop\Sim_data\IMG\center_2024_04_12_17_22_20_158.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\left_2024_04_12_17_22_20_158.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\right_2024_04_12_17_22_20_158.jpg, 0, 0.3830131, 0, 0.3321341
C:\Users\amogh\Desktop\Sim_data\IMG\center_2024_04_12_17_22_20_260.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\left_2024_04_12_17_22_20_260.jpg, C:\Users\amogh\Desktop\Sim_data\IMG\right_2024_04_12_17_22_20_260.jpg, 0, 0.6888153, 0, 0.9536017
